Time_sec,Temp_F,Temp_C,Temp_K
0,58.1290322580645,14.5161290322581,287.666129032258
1.59,59.0087976539589,15.0048875855327,288.154887585533
1.795,57.2492668621701,14.0273704789834,287.177370478983
1.998,57.2492668621701,14.0273704789834,287.177370478983
2.187,59.0087976539589,15.0048875855327,288.154887585533
2.437,57.2492668621701,14.0273704789834,287.177370478983
2.592,58.1290322580645,14.5161290322581,287.666129032258
2.734,57.2492668621701,14.0273704789834,287.177370478983
2.877,57.2492668621701,14.0273704789834,287.177370478983
3.033,57.2492668621701,14.0273704789834,287.177370478983
3.175,55.4897360703812,13.049853372434,286.199853372434
3.347,59.0087976539589,15.0048875855327,288.154887585533
3.518,58.1290322580645,14.5161290322581,287.666129032258
3.661,59.0087976539589,15.0048875855327,288.154887585533
3.816,56.3695014662757,13.5386119257087,286.688611925709
3.974,56.3695014662757,13.5386119257087,286.688611925709
4.114,58.1290322580645,14.5161290322581,287.666129032258
4.269,58.1290322580645,14.5161290322581,287.666129032258
4.41,59.0087976539589,15.0048875855327,288.154887585533
4.551,57.2492668621701,14.0273704789834,287.177370478983
4.706,59.0087976539589,15.0048875855327,288.154887585533
4.843,59.0087976539589,15.0048875855327,288.154887585533
4.985,59.0087976539589,15.0048875855327,288.154887585533
5.127,59.0087976539589,15.0048875855327,288.154887585533
5.268,59.0087976539589,15.0048875855327,288.154887585533
5.422,59.0087976539589,15.0048875855327,288.154887585533
5.563,59.8885630498534,15.4936461388074,288.643646138807
5.703,59.0087976539589,15.0048875855327,288.154887585533
5.86,59.8885630498534,15.4936461388074,288.643646138807
6.015,55.4897360703812,13.049853372434,286.199853372434
6.156,57.2492668621701,14.0273704789834,287.177370478983
6.296,58.1290322580645,14.5161290322581,287.666129032258
6.435,57.2492668621701,14.0273704789834,287.177370478983
6.576,58.1290322580645,14.5161290322581,287.666129032258
6.716,56.3695014662757,13.5386119257087,286.688611925709
6.857,58.1290322580645,14.5161290322581,287.666129032258
6.998,57.2492668621701,14.0273704789834,287.177370478983
7.14,59.0087976539589,15.0048875855327,288.154887585533
7.295,57.2492668621701,14.0273704789834,287.177370478983
7.435,56.3695014662757,13.5386119257087,286.688611925709
7.576,57.2492668621701,14.0273704789834,287.177370478983
7.716,56.3695014662757,13.5386119257087,286.688611925709
7.875,58.1290322580645,14.5161290322581,287.666129032258
8.014,56.3695014662757,13.5386119257087,286.688611925709
8.154,57.2492668621701,14.0273704789834,287.177370478983
8.312,57.2492668621701,14.0273704789834,287.177370478983
8.452,56.3695014662757,13.5386119257087,286.688611925709
8.593,57.2492668621701,14.0273704789834,287.177370478983
8.733,57.2492668621701,14.0273704789834,287.177370478983
8.874,56.3695014662757,13.5386119257087,286.688611925709
9.016,58.1290322580645,14.5161290322581,287.666129032258
9.17,57.2492668621701,14.0273704789834,287.177370478983
9.31,57.2492668621701,14.0273704789834,287.177370478983
9.465,58.1290322580645,14.5161290322581,287.666129032258
9.605,59.0087976539589,15.0048875855327,288.154887585533
9.748,57.2492668621701,14.0273704789834,287.177370478983
9.888,57.2492668621701,14.0273704789834,287.177370478983
10.028,58.1290322580645,14.5161290322581,287.666129032258
10.187,57.2492668621701,14.0273704789834,287.177370478983
10.327,56.3695014662757,13.5386119257087,286.688611925709
10.467,58.1290322580645,14.5161290322581,287.666129032258
10.608,57.2492668621701,14.0273704789834,287.177370478983
10.778,59.0087976539589,15.0048875855327,288.154887585533
10.919,59.0087976539589,15.0048875855327,288.154887585533
11.059,59.8885630498534,15.4936461388074,288.643646138807
11.2,59.0087976539589,15.0048875855327,288.154887585533
11.358,59.8885630498534,15.4936461388074,288.643646138807
11.496,59.0087976539589,15.0048875855327,288.154887585533
11.652,58.1290322580645,14.5161290322581,287.666129032258
11.795,59.8885630498534,15.4936461388074,288.643646138807
11.935,59.0087976539589,15.0048875855327,288.154887585533
12.076,59.8885630498534,15.4936461388074,288.643646138807
12.231,56.3695014662757,13.5386119257087,286.688611925709
12.371,55.4897360703812,13.049853372434,286.199853372434
12.513,58.1290322580645,14.5161290322581,287.666129032258
12.654,59.0087976539589,15.0048875855327,288.154887585533
12.795,59.0087976539589,15.0048875855327,288.154887585533
12.952,57.2492668621701,14.0273704789834,287.177370478983
13.108,57.2492668621701,14.0273704789834,287.177370478983
13.248,57.2492668621701,14.0273704789834,287.177370478983
13.385,57.2492668621701,14.0273704789834,287.177370478983
13.525,56.3695014662757,13.5386119257087,286.688611925709
13.669,57.2492668621701,14.0273704789834,287.177370478983
13.811,58.1290322580645,14.5161290322581,287.666129032258
13.953,59.0087976539589,15.0048875855327,288.154887585533
14.094,59.0087976539589,15.0048875855327,288.154887585533
14.251,57.2492668621701,14.0273704789834,287.177370478983
14.392,59.8885630498534,15.4936461388074,288.643646138807
14.533,59.8885630498534,15.4936461388074,288.643646138807
14.689,57.2492668621701,14.0273704789834,287.177370478983
14.845,57.2492668621701,14.0273704789834,287.177370478983
15.001,59.0087976539589,15.0048875855327,288.154887585533
15.142,56.3695014662757,13.5386119257087,286.688611925709
15.283,58.1290322580645,14.5161290322581,287.666129032258
15.423,57.2492668621701,14.0273704789834,287.177370478983
15.582,56.3695014662757,13.5386119257087,286.688611925709
15.723,58.1290322580645,14.5161290322581,287.666129032258
15.863,57.2492668621701,14.0273704789834,287.177370478983
16.005,57.2492668621701,14.0273704789834,287.177370478983
16.144,57.2492668621701,14.0273704789834,287.177370478983
16.288,58.1290322580645,14.5161290322581,287.666129032258
16.427,57.2492668621701,14.0273704789834,287.177370478983
16.565,58.1290322580645,14.5161290322581,287.666129032258
